#          time          totpot
              0      17060.5407
              2      16771.3671
              4      16932.1372
              6      16892.8997
              8      16883.1646
             10      16968.8836
             12      16895.4849
             14      17005.1196
             16       16929.945
             18      16909.2487
             20      16925.5743
             22      16875.3202
             24       16945.609
             26       16883.559
             28      16841.0567
             30      16875.0015
             32      16809.3142
             34      16773.5394
             36      16801.9404
             38      16856.0123
             40      16810.5943
             42      16776.1897
             44      16815.5073
             46      16788.8899
             48      16784.0579
             50      16784.2474
             52      16813.3728
             54      16751.4253
             56      16822.6152
             58      16687.8014
             60      16837.9207
             62      16718.9776
             64       16758.526
             66      16706.4503
             68      16838.9639
             70      16626.7308
             72      16650.8679
             74      16618.3432
             76      16726.6805
             78      16605.4047
             80       16641.361
             82      16664.1529
             84      16636.4058
             86      16684.9306
             88      16646.6786
             90      16665.8488
             92      16739.8713
             94      16649.6649
             96      16712.0581
             98      16551.9623
            100      16658.6901
            102      16617.7442
            104      16561.4335
            106      16591.1586
            108      16629.6349
            110      16670.4728
            112      16630.9994
            114      16493.5853
            116        16568.44
            118      16668.8317
            120      16575.1328
            122      16525.5745
            124      16514.8993
            126      16550.2966
            128      16566.4672
            130      16512.0546
            132      16539.0995
            134      16585.4879
            136        16467.07
            138      16482.0464
            140      16504.9736
            142      16549.9643
            144      16552.5528
            146      16535.9014
            148      16437.9997
            150      16582.2374
            152      16455.5488
            154      16458.7659
            156      16406.7164
            158      16434.2925
            160      16555.1356
            162      16447.9094
            164      16463.6412
            166      16331.6364
            168      16369.0024
            170      16512.6403
            172      16387.8682
            174      16326.4278
            176      16346.9318
            178      16343.9969
            180      16373.9722
            182      16352.6992
            184      16332.3141
            186      16368.4282
            188      16387.9464
            190      16426.9566
            192      16353.9234
            194      16293.9273
            196      16348.1501
            198      16346.3152
