#          time          densit
              0      1108.01321
              2      1052.88901
              4      1050.01088
              6      1046.26792
              8      1047.12761
             10      1048.41983
             12      1045.74908
             14      1046.72811
             16      1046.93221
             18      1044.01678
             20      1045.94669
             22      1045.65948
             24      1045.09307
             26      1042.96099
             28      1040.49869
             30      1039.03478
             32      1040.36385
             34      1040.40125
             36      1046.48332
             38      1037.52708
             40      1035.86181
             42      1039.52025
             44      1037.61801
             46      1035.40254
             48      1034.06346
             50      1040.86025
             52       1040.0478
             54      1041.32137
             56      1035.58849
             58      1035.46161
             60      1038.46861
             62      1039.45847
             64      1039.43116
             66      1038.19126
             68      1028.55736
             70      1030.64823
             72      1038.60937
             74      1036.38958
             76      1041.88628
             78      1039.09628
             80      1040.00612
             82      1039.97107
             84      1036.95151
             86      1039.92613
             88      1043.14686
             90       1046.5324
             92      1043.95961
             94      1044.65913
             96      1043.32706
             98      1043.66005
            100      1043.14867
            102      1044.14596
            104      1036.93702
            106      1047.13967
            108      1049.51543
            110      1046.20168
            112      1046.55236
            114       1043.5593
            116      1044.52689
            118      1045.28524
            120      1044.59512
            122      1037.48211
            124      1035.18168
            126      1034.82627
            128      1038.30815
            130       1041.8574
            132      1041.21771
            134      1040.55331
            136      1044.43564
            138      1046.79418
            140      1042.81029
            142      1040.88007
            144      1043.67768
            146      1039.97421
            148      1042.35214
            150      1042.36409
            152      1044.92503
            154      1038.88347
            156      1040.56881
            158      1039.69125
            160       1035.5703
            162      1037.46922
            164      1039.81477
            166      1042.85691
            168      1047.83862
            170      1048.37567
            172      1046.22136
            174      1043.23614
            176      1045.24218
            178       1044.4277
            180      1042.09762
            182      1043.17647
            184      1036.58077
            186      1036.36149
            188      1046.33448
            190      1041.87096
            192      1040.20822
            194      1039.07761
            196      1040.47448
            198      1037.07267
            200      1037.70525
            202      1043.78377
            204      1035.88702
            206      1036.27255
            208      1042.02884
            210      1044.90798
            212      1039.69275
            214      1037.63178
            216      1044.62228
            218      1043.07967
            220      1042.20483
            222      1044.88953
            224      1044.36739
            226      1044.26116
            228      1039.90165
            230      1037.99716
            232      1036.72848
            234      1044.12376
            236      1043.88485
            238       1045.8258
            240      1050.94746
            242      1046.23095
            244      1049.63559
            246      1046.69815
            248      1046.85713
            250      1049.40994
            252      1042.95234
            254      1038.93873
            256      1040.64082
            258      1043.11021
            260      1038.77177
            262      1038.97204
            264      1041.22727
            266      1041.56715
            268      1036.02311
            270       1038.3896
            272      1037.39732
            274      1033.80532
            276      1033.73192
            278      1034.62467
            280      1033.65309
            282      1035.71671
            284      1039.51424
            286      1036.80546
            288      1033.60432
            290      1039.98726
            292      1038.19235
            294      1036.65368
            296      1033.14235
            298      1040.33828
            300      1035.32929
            302      1035.61311
            304      1040.84926
            306      1039.44198
            308      1037.82933
            310      1039.55714
            312      1036.90887
            314      1036.05327
            316      1044.20744
            318      1040.69214
            320      1038.09921
            322      1047.86845
            324      1041.38182
            326      1034.13545
            328      1037.07586
            330      1037.68079
            332      1038.04391
            334      1041.26713
            336      1043.73492
            338      1042.84136
            340      1038.17599
            342      1040.81015
            344      1036.68893
            346      1039.67194
            348      1041.25331
            350      1041.13693
            352      1043.45347
            354      1042.84635
            356      1041.55929
            358      1040.79206
            360      1040.35185
            362      1042.11624
            364      1038.36622
            366      1035.71098
            368      1039.94491
            370      1036.57396
            372      1035.94049
            374      1038.19984
            376       1038.3073
            378      1040.72718
            380      1036.63606
            382      1040.21712
            384      1038.81107
            386       1040.0599
            388      1044.17521
            390      1039.08019
            392      1038.74085
            394      1039.09096
            396      1042.48621
            398      1037.62104
            400      1041.41357
            402      1036.81262
            404        1040.528
            406      1034.59827
            408      1038.80428
            410      1033.99849
            412      1040.75645
            414      1046.79196
            416       1047.8629
            418      1043.54146
            420      1041.99975
            422      1041.36326
            424      1045.22352
            426      1041.45066
            428      1040.58211
            430      1041.75605
            432      1037.17976
            434      1035.37081
            436      1035.96763
            438      1035.65683
            440      1039.94724
            442      1036.91482
            444      1036.28638
            446      1034.68418
            448      1036.54295
            450      1032.70108
            452      1037.58213
            454      1032.04455
            456      1036.45419
            458      1040.52183
            460      1036.29623
            462      1041.96814
            464      1040.85295
            466      1038.35357
            468      1046.80838
            470      1039.03427
            472      1035.55849
            474      1037.74158
            476      1038.76659
            478      1043.25808
            480      1039.50035
            482      1040.46311
            484      1042.84146
            486      1039.77275
            488      1036.95649
            490      1036.43287
            492      1033.99305
            494       1031.3919
            496      1037.52227
            498      1038.50798
            500      1038.72693
            502      1038.74163
            504      1042.73863
            506      1039.98784
            508      1035.87574
            510      1034.58551
            512      1039.17836
            514      1044.54844
            516      1042.27386
            518      1038.07853
            520      1038.47465
            522      1032.90796
            524      1039.18076
            526      1042.03735
            528      1037.25612
            530      1040.81911
            532      1037.12148
            534      1031.22836
            536      1033.18119
            538      1030.30561
            540      1029.59885
            542      1032.96053
            544       1035.0871
            546      1040.41939
            548      1039.79504
            550      1039.49177
            552      1035.04821
            554      1042.23175
            556      1041.23329
            558      1038.22426
            560      1041.08095
            562       1036.9156
            564      1035.25444
            566      1039.02832
            568      1041.61507
            570       1047.9528
            572      1040.75529
            574      1039.06338
            576      1042.50271
            578      1043.79552
            580      1040.20274
            582      1040.23926
            584      1041.42676
            586        1041.714
            588      1042.21381
            590      1039.66687
            592      1044.07455
            594      1042.60471
            596      1040.18067
            598      1040.90552
            600      1040.10802
            602       1039.4497
            604       1040.7638
            606       1041.0881
            608      1041.02424
            610       1038.3153
            612       1041.3482
            614      1039.34352
            616      1040.74013
            618      1040.33477
            620       1038.6872
            622       1041.0844
            624      1036.22011
            626       1036.0952
            628        1038.067
            630      1036.70702
            632      1042.68151
            634      1044.55533
            636      1048.02041
            638       1048.0162
            640      1047.44026
            642      1049.45244
            644      1045.80462
            646      1042.40755
            648      1039.44297
            650      1042.76109
            652      1042.53479
            654      1039.68543
            656      1042.63764
            658      1038.97197
            660      1038.36264
            662      1040.49952
            664      1039.74159
            666      1034.44029
            668      1044.14071
            670      1041.50908
            672      1044.11648
            674      1040.12102
            676      1038.44363
            678      1039.77741
            680      1045.39769
            682      1046.18076
            684      1043.44867
            686       1048.3027
            688      1040.51382
            690       1039.5461
            692      1040.75445
            694       1044.9132
            696      1042.91711
            698      1049.51254
            700      1045.09796
            702      1044.69875
            704       1046.9106
            706       1046.6859
            708      1041.69441
            710      1043.27686
            712      1044.64678
            714      1042.46921
            716      1043.50279
            718       1043.9568
            720       1046.9386
            722      1044.92656
            724      1044.70729
            726      1043.16971
            728      1043.44671
            730      1038.42738
            732      1038.51688
            734       1042.6309
            736       1039.7313
            738      1037.30186
            740      1037.90936
            742      1039.54331
            744      1042.48307
            746      1041.17094
            748      1040.90928
            750      1041.07031
            752      1038.12786
            754      1037.87618
            756      1037.44875
            758      1043.82121
            760       1038.8172
            762      1042.22572
            764       1040.6717
            766      1041.61445
            768      1040.90888
            770      1039.46318
            772      1043.17049
            774        1036.214
            776      1040.73875
            778      1036.92342
            780      1037.77141
            782      1038.15958
            784      1042.03478
            786      1042.83426
            788      1039.98187
            790      1040.61338
            792      1044.65877
            794      1039.97652
            796      1041.51591
            798      1038.57592
            800      1040.50244
            802      1037.76252
            804      1038.48297
            806      1042.30319
            808      1040.11063
            810      1037.73395
            812      1035.07631
            814      1034.16396
            816      1034.59271
            818      1037.55986
            820      1035.62071
            822      1034.25252
            824      1032.36951
            826      1036.08725
            828      1030.69576
            830       1039.7815
            832      1038.95828
            834      1035.61035
            836      1042.00988
            838      1037.54419
            840      1040.55874
            842      1039.05851
            844      1030.50833
            846       1036.7463
            848      1039.05436
            850      1039.22472
            852      1041.38657
            854      1040.72511
            856       1040.2826
            858      1043.48384
            860      1038.46443
            862      1042.00623
            864      1042.44604
            866      1040.50016
            868      1041.11031
            870      1043.19258
            872      1037.97029
            874      1046.60544
            876      1040.38046
            878      1043.15384
            880      1039.66203
            882      1039.14863
            884      1046.34943
            886      1045.83713
            888      1045.70248
            890      1047.43888
            892      1042.87141
            894      1045.75275
            896      1039.96525
            898      1041.39331
            900      1039.65916
            902      1044.24833
            904      1040.55178
            906      1044.44012
            908      1036.99301
            910      1042.26664
            912      1041.60774
            914      1042.88027
            916      1045.06562
            918      1040.67418
            920      1042.66542
            922      1041.18136
            924       1045.7852
            926      1043.87785
            928      1042.86121
            930      1040.86502
            932       1042.9047
            934      1041.69333
            936      1040.54921
            938      1036.77851
            940      1041.42229
            942      1040.39217
            944      1042.92776
            946      1042.18791
            948      1040.97749
            950      1043.14184
            952      1042.86009
            954      1044.99209
            956      1045.62367
            958      1044.78976
            960      1043.07383
            962      1046.64083
            964      1050.79335
            966      1050.76251
            968      1046.89954
            970      1046.29594
            972       1048.8771
            974       1045.9157
            976      1047.24803
            978      1049.31367
            980      1044.59727
            982      1041.63892
            984       1046.0551
            986      1045.00232
            988      1044.73037
            990      1048.62063
            992      1047.12849
            994       1049.1462
            996      1051.01598
            998      1046.53978
           1000       1046.7521
           1002       1040.3957
           1004      1041.32773
           1006      1045.42204
           1008      1041.39051
           1010       1047.0339
           1012      1041.61634
           1014      1035.10833
           1016      1039.65148
           1018      1042.04503
           1020      1036.39118
           1022      1038.72089
           1024      1035.11802
           1026      1035.63813
           1028      1037.97986
           1030      1040.63752
           1032      1035.58999
           1034      1035.88981
           1036      1040.27416
           1038      1036.35697
           1040      1035.39983
           1042      1035.36465
           1044      1038.82315
           1046      1038.33121
           1048      1037.62961
           1050      1044.59266
           1052      1045.33053
           1054      1042.39484
           1056       1038.9082
           1058      1034.23087
           1060      1032.64384
           1062       1040.1537
           1064      1031.59703
           1066      1038.01659
           1068      1035.33173
           1070      1040.37749
           1072      1036.09892
           1074      1033.69047
           1076      1031.85332
           1078      1032.19554
           1080      1029.90367
           1082      1039.04274
           1084      1038.81048
           1086      1041.83366
           1088      1039.91368
           1090       1037.2888
           1092      1033.90904
           1094      1042.11056
           1096      1040.55905
           1098      1038.97752
           1100      1037.98776
