#          time          totpot
              0     -13446.9462
              2      -13309.588
              4     -13358.8225
              6     -13419.0783
              8     -13240.2153
             10     -13016.7322
             12     -13224.7823
             14     -13129.1582
             16     -13131.0671
             18     -13082.7171
             20     -12935.5723
             22     -13089.2858
             24     -12940.6257
             26     -12932.2539
             28     -13074.0355
             30     -13196.1266
             32     -13149.1214
             34     -13042.7887
             36     -13286.0257
             38     -12996.3825
             40     -12690.6195
             42     -13017.0358
             44     -12773.9756
             46     -12736.7117
             48     -12994.4113
             50     -13064.8612
             52     -12879.0047
             54     -12814.2147
             56     -12880.6966
             58     -12848.5656
             60     -13002.8743
             62     -12891.2415
             64     -12921.2192
             66     -12891.1677
             68      -12779.524
             70     -12684.8679
             72     -12790.1802
             74     -12804.1125
             76     -12704.1849
             78     -12952.6491
             80      -12924.388
             82     -12851.9899
             84     -12910.6376
             86     -12937.8873
             88     -12965.6166
             90     -13002.5479
             92     -13155.1209
             94     -13092.0298
             96     -12951.8127
             98     -12878.0241
            100     -13014.8326
            102     -12863.2718
            104     -13111.6177
            106     -12974.4506
            108     -13013.9477
            110     -13172.1454
            112     -13058.8964
            114     -12938.6095
            116     -13000.4568
            118      -13078.114
            120     -12745.1749
            122     -12519.9867
            124     -12871.5908
            126     -12954.3127
            128     -12841.0134
            130     -13084.3739
            132     -13102.6782
            134     -12996.8625
            136     -13111.6686
            138     -13095.3547
            140     -13022.0343
            142     -13290.9156
            144     -12961.4499
            146     -13315.6509
            148     -13095.3813
            150     -13268.2419
            152     -13119.9319
            154     -12884.7878
            156     -12852.4809
            158     -12783.9161
            160     -12670.1837
            162     -12826.5502
            164     -13074.1517
            166     -13042.0784
            168     -13193.7124
            170     -13167.8497
            172     -13610.4275
            174     -13052.0772
            176      -13163.928
            178     -12988.1674
            180     -13076.8904
            182     -13169.5176
            184     -12669.3293
            186     -12704.4389
            188     -13260.1855
            190     -13012.5104
            192      -12875.447
            194     -13095.6184
            196     -12837.3178
            198     -12807.5394
            200     -12826.7974
            202     -12772.5338
            204     -13045.9116
            206     -13048.3343
            208     -13010.0275
            210     -12899.5908
            212     -12857.4426
            214     -13049.3357
            216     -13006.5014
            218     -12918.3661
            220     -12884.4408
            222     -12874.0133
            224      -13079.162
            226     -12918.7003
            228     -13099.5572
            230     -12977.1156
            232     -12916.1495
            234     -13246.7049
            236     -13085.7901
            238     -12833.2799
            240     -13294.3637
            242     -13174.6712
            244     -13135.8606
            246     -12917.4185
            248     -13190.6652
            250      -13067.736
            252     -12750.3052
            254     -12804.1976
            256     -12869.1529
            258     -12903.2127
            260     -12864.6946
            262     -13134.7158
            264     -12825.8278
            266     -13089.5929
            268     -13109.7261
            270     -12818.0013
            272     -13251.5504
            274     -12971.7785
            276     -12858.6638
            278     -12684.6696
            280     -12966.2733
            282     -12673.6561
            284      -12839.204
            286     -13000.7405
            288     -12931.4165
            290     -12873.7665
            292     -12997.9698
            294     -12715.0632
            296     -12870.6922
            298     -13161.6207
            300     -12964.2874
            302     -12898.8795
            304     -12810.9655
            306     -12748.6954
            308     -12877.4668
            310     -12949.6201
            312     -12826.2689
            314     -12834.1003
            316     -13074.7986
            318     -13142.8457
            320     -12773.8262
            322      -13003.913
            324     -13101.2673
            326     -12972.1317
            328     -12834.8133
            330      -12994.601
            332     -13119.1182
            334     -12934.8982
            336     -13253.4804
            338     -12891.9862
            340     -12925.0762
            342     -12839.8198
            344     -12925.1093
            346     -12916.8448
            348     -13041.4176
            350     -13280.8947
            352     -13093.4383
            354     -13035.9851
            356     -12921.1488
            358     -13262.3904
            360     -12888.8348
            362     -12897.3711
            364     -12961.8989
            366     -12690.8554
            368     -12655.0653
            370     -12903.5094
            372     -13232.4988
            374     -12908.2209
            376     -12932.9561
            378     -12925.8836
            380      -13200.313
            382     -12972.6582
            384     -13166.2855
            386     -12884.4624
            388     -12967.8488
            390     -13064.6594
            392     -13114.4188
            394     -12956.4621
            396     -13093.1636
            398     -12859.4954
            400     -13146.4755
            402     -12838.8547
            404     -12886.2069
            406     -13019.9774
            408     -12710.6383
            410     -13085.4178
            412     -13385.8413
            414     -13104.7126
            416     -13390.3623
            418     -13247.5448
