#          time    nonbsolusolv
              0      25.1187041
              2      23.9357618
              4      31.3932679
              6      20.8347042
              8      20.7089106
             10      24.4320615
             12      27.0249605
             14      22.6397433
             16      25.9096873
             18       27.596145
             20      30.8017435
             22        30.23194
             24      25.6117116
             26      27.1850229
             28      28.2804335
             30      30.6050555
             32      30.9658747
             34      21.1743586
             36      22.8701794
             38      24.6623051
             40      25.6135968
             42      26.5625021
             44      29.8513864
             46      30.3992628
             48      31.8693334
             50      26.7937627
             52      31.2142936
             54      22.7155919
             56       29.869961
             58      29.1684277
             60       30.750382
             62      33.9308956
             64      30.9724986
             66      31.4784369
             68      25.7090316
             70      26.7525931
             72      23.5228777
             74      25.0872394
             76        19.21701
             78      27.9227349
             80      21.3293862
             82      24.4682582
             84      22.3269149
             86      21.5015093
             88      23.3501929
             90       24.462447
             92      20.3307283
             94        21.27149
             96      19.9391686
             98      22.7536064
            100      21.5043319
            102      26.6460524
            104      29.5409774
            106      26.5036697
            108      25.9788503
            110      29.2484008
            112      25.9982381
            114      25.5831553
            116      34.5107673
            118      26.6590342
            120      20.8927888
            122      27.2636999
            124      28.3032092
            126      22.7696257
            128      27.0475124
            130      26.1578337
            132      18.9260291
            134      22.8692708
            136      27.8661485
            138      25.7323396
            140       18.832026
            142      26.5190548
            144      22.2394759
            146      22.4049188
            148      21.4486803
            150      23.8939504
            152      24.5798871
            154      22.6221202
            156      27.7994609
            158      26.8383999
            160      24.6721833
            162      23.2191749
            164      25.5984462
            166      21.6661234
            168      33.1423258
            170      34.6971215
            172      27.1938246
            174      23.6726881
            176      22.9785182
            178      19.9388492
            180      31.9672319
            182      33.3775394
            184      27.0844796
            186      20.3640549
            188      20.7529439
            190      25.0953787
            192      21.4566085
            194      25.8731079
            196      20.9764335
            198       24.135593
            200      25.5632826
            202      20.9302811
            204      25.5002263
            206      20.2051778
            208      20.1824371
            210       27.116703
            212      31.0996396
            214      35.9127343
            216      27.9503079
            218      27.6848541
            220      22.1445967
            222      24.6170907
            224      23.7582107
            226      25.8138979
            228      21.6331377
            230      19.0526559
            232      23.9605736
            234       18.237067
            236      29.7537867
            238       25.986094
            240       23.788061
            242         19.5874
            244      20.0857324
            246       30.692312
            248      36.0223997
            250      23.4633599
            252       26.128214
            254      23.3417419
            256      30.5502769
            258      20.4331411
            260      18.2595123
            262      24.4380379
            264      27.5760388
            266      24.8116673
            268      25.4398981
            270       25.598531
            272       31.256532
            274      27.4396328
            276      30.9249228
            278      24.3833194
            280      20.4466057
            282      25.9462358
            284      28.2320602
            286      26.7524498
            288       30.588085
