#          time          totpot
              0     -42430.8502
              2     -42384.2862
              4     -42486.8908
              6     -42714.1544
              8     -42734.3459
             10     -42424.7274
             12     -42774.4878
             14     -42215.1943
             16     -42341.0057
             18     -42468.6845
             20     -42633.0866
             22     -42636.5976
             24     -42580.1428
             26     -42578.6447
             28     -42394.1845
             30     -42299.0117
             32     -42622.0422
             34     -42496.2422
             36     -42536.9769
             38     -42331.5032
             40     -42807.1794
             42     -42669.1241
             44     -42581.0132
             46     -42427.1792
             48      -42618.865
             50     -42648.5855
             52     -42773.5744
             54     -42353.4224
             56     -42706.6286
             58     -42647.7003
             60     -42707.9936
             62     -42397.1835
             64     -42318.0454
             66     -42463.5292
             68     -42555.8812
             70     -42622.9743
             72     -42569.4576
             74     -42431.9109
             76     -42390.7842
             78     -42779.1215
             80      -42484.171
             82     -42581.2285
             84     -42472.6678
             86     -42665.0312
             88     -42387.3287
             90     -42541.2136
             92     -42621.2502
             94     -42537.8565
             96     -42606.5846
             98     -42563.6549
            100     -42498.1862
            102     -42361.0808
            104     -42401.2011
            106     -42616.1691
            108     -42457.3013
            110     -42337.1297
            112     -42582.3831
            114     -42660.3881
            116     -42362.7016
            118     -42455.3051
            120     -42693.6143
            122     -42403.9544
            124     -42499.7247
            126     -42472.8332
            128     -42787.5139
            130      -42393.969
            132     -42591.3996
            134     -42606.0615
            136     -42451.4668
            138     -42598.1795
            140     -42958.5904
            142     -42842.1799
            144     -42419.6573
            146     -42561.3072
            148     -42588.8531
            150     -42546.6782
            152     -42521.2263
            154     -42710.2912
            156     -42689.0355
            158     -42590.8811
            160     -42394.3745
            162     -42347.3896
            164     -42626.4716
            166     -42494.3377
            168     -42608.2858
            170     -42467.6653
            172     -42291.8944
            174     -42510.5459
            176     -42600.7614
            178     -42615.4314
            180     -42838.4787
            182     -42449.9605
            184       -42614.82
            186     -42356.2679
            188     -42493.4804
            190     -42614.0581
            192     -42225.3023
            194     -42759.8402
            196     -42629.8625
            198     -42707.6617
            200     -42464.4307
            202     -42684.2763
            204     -42646.8153
            206     -42782.8821
            208     -42786.9191
            210     -42748.6673
            212     -42178.6084
            214     -42488.8696
            216     -42429.2239
            218     -42403.2541
            220     -42650.7489
            222     -42515.8375
            224     -42453.9277
            226     -42530.4354
            228     -42324.4809
            230     -42404.7359
            232     -42748.4271
            234     -42802.5994
            236     -42749.2448
            238     -42361.2642
            240     -42475.1448
            242     -42458.3031
            244     -42445.0183
            246     -42407.8217
            248     -42574.4217
            250     -42376.9637
            252      -42394.785
            254     -42444.8264
            256     -42294.7578
            258      -42515.588
            260     -42570.4503
            262     -42318.3312
            264     -42551.8502
            266     -42187.7323
            268      -42560.585
            270     -42617.6582
            272     -42772.5047
            274     -42590.6738
            276     -42188.6176
            278     -42450.0036
            280     -42423.7364
            282     -42561.7826
            284     -42496.7635
            286     -42428.2946
            288     -42697.9447
            290     -42906.6303
            292      -42747.196
            294      -42374.556
            296     -42608.1631
            298     -42638.6484
            300     -42407.5345
            302      -42594.822
            304     -42562.0281
            306     -42621.3002
            308     -42590.0722
            310     -42788.5383
            312     -42447.8589
            314     -42533.1455
            316     -42568.5149
            318     -42535.4893
            320     -42396.2053
            322     -42751.1078
            324     -42610.2217
            326     -42464.5785
            328     -42614.4687
            330     -42367.3878
            332     -42349.4033
            334      -42501.487
            336     -42704.4022
            338     -42405.8453
            340     -42766.7817
            342     -42581.0043
            344     -42572.8703
            346     -42541.4904
            348     -42662.1998
            350     -42676.6389
            352     -42290.3735
            354     -42799.5476
            356     -42507.4704
            358     -42614.8501
            360     -42260.5996
            362     -42521.1543
            364     -42675.6379
            366     -42716.2552
            368     -42457.8817
            370     -42295.4373
            372     -42311.0367
            374     -42608.0693
            376     -42337.5233
            378     -42564.9472
            380     -42548.0338
            382     -42376.7561
            384      -42769.816
            386     -42477.8948
            388     -42428.1681
            390     -42437.1092
            392     -42574.1896
            394      -42776.844
            396     -42477.6957
            398     -42558.0753
            400     -42537.9342
            402     -42251.3968
            404     -42703.0206
            406     -42398.5198
            408     -42573.3381
            410     -42644.1807
            412     -42610.6782
            414     -42755.4918
            416     -42586.8355
            418      -42379.472
            420     -42505.0853
            422     -42483.1633
            424     -42494.6408
            426     -42643.5054
            428     -42572.7286
            430     -42430.2163
            432     -42379.1595
            434     -42806.0145
            436     -42489.5938
            438     -42601.5876
            440     -42668.3751
            442     -42495.3777
            444     -42206.9482
            446     -42544.8784
            448     -42494.2279
            450     -42529.9168
            452     -42373.9774
            454     -42414.2795
            456     -42794.5018
            458     -42526.1657
            460     -42522.5488
            462     -42639.7113
            464     -42341.0037
            466     -42528.0914
            468     -42420.4781
            470     -42463.3161
            472     -42618.0356
            474     -42663.7475
            476     -42401.8385
            478     -42155.5762
            480     -42325.9806
            482     -42459.2118
            484     -42482.4941
            486     -42708.3414
            488      -42683.214
            490     -42571.6101
            492     -42537.5261
            494     -42428.1336
