#  phi   psi
-110.362 126.333
-105.694 138.205
-106.42 105.041
-101.869 102.624
-100.212 132.206
-126.407 142.213
-102.225 145.477
-96.2141 143.789
-82.1317 133.317
-80.4651 135.832
-96.1827 140.664
-65.9777 131.449
-101.477 114.544
-93.055 133.188
-93.8318 122.889
-77.0034 128.895
-82.6201 130.399
-101.465 139.994
-80.8745 129.668
-103.439 143.581
-81.5044 136.021
-67.8886 125.935
-86.4999 143.268
-73.2532 112.713
-90.7099 98.7796
-80.5319 120.284
-75.7468 122.614
-64.531 109.964
-93.1332 108.972
-67.4225 112.386
-91.2617 121.142
-65.5847 106.953
-94.1809 109.435
-78.3067 74.9902
-90.236 90.463
-60.1889 95.8523
-62.9544 103.903
-71.1543 97.3626
-56.3607 102.262
-69.8538 127.283
-72.5968 99.6399
-66.2332 92.8526
-67.0042 112.844
-66.0204 75.5118
-67.3494 87.1382
-72.4565 118.531
-72.6299 89.6967
-67.543 120.027
-70.1366 127.204
-61.328 114.643
-66.3956 106.772
-70.0499 124.738
-60.5466 118.696
-67.0864 118.645
-67.6772 97.0549
-87.9907 121.458
-55.1707 111.671
-117.015 94.0298
-91.6489 112.494
-86.3608 127.183
-69.5727 111.431
-65.9792 106.397
-84.8927 105.659
-85.7621 112.687
-80.6793 104.986
-86.8196 122.73
-90.5583 108.326
-78.9652 104.77
-76.4981 90.0195
-98.2486 120.213
-90.3926 126.587
-73.0207 119.685
-82.8322 104.179
-72.7467 114.01
-77.7251 123.46
-69.9148 89.9586
-74.7162 110.564
-82.2207 120.35
-68.598 87.3104
-102.804 82.5828
-72.809 129.377
-77.1674 125.479
-71.8718 100.101
-69.3234 112.19
-78.5006 111.282
-63.0797 98.3361
-74.2199 94.3138
-70.7883 94.258
-86.0788 100.501
-89.1555 79.8438
-78.3691 115.015
-94.7806 137.942
-69.0264 104.152
-98.7476 126.067
-54.8274 100.841
-74.4125 88.9717
-85.7015 95.1725
-84.9305 80.2103
-107.627 124.823
-110.459 114.324
-109.922 112.274
-79.9442 105.773
-72.8179 153.11
-91.0002 83.2579
-64.1424 101.227
-80.5483 83.191
-78.9827 116.1
-85.8898 80.924
-94.3845 106.408
-117.974 108.56
-90.6084 117.932
-84.2542 106.339
-79.1776 128.228
-79.8668 74.8043
-86.8291 126.173
-91.1161 75.667
-82.8849 94.8196
-84.4256 90.3874
-76.6073 114.724
-80.144 118.527
-101.646 104.518
-82.2528 111.012
-74.4978 98.2796
-56.7166 112.374
-71.3837 110.78
-80.0564 120.205
-87.4767 122.553
-56.5888 120.805
-51.7306 132.886
-72.522 116.075
-96.2572 124.297
-97.0539 127.83
-84.6353 105.753
-83.2525 107.172
-79.4825 96.4894
-57.4593 111.981
-60.0922 103.094
-90.8137 108.54
-78.2981 95.2082
-64.4166 112.271
-73.5635 99.2303
-84.3327 92.3306
-59.268 103.761
-65.4101 97.901
-42.7415 79.9444
-87.4449 79.7512
-62.3602 84.5494
-103.184 84.103
-52.3671 94.4163
-71.39 83.7486
-73.8299 84.8048
-67.5216 93.6198
-67.0545 87.8793
-65.057 63.3022
-54.3683 123.613
-70.791 93.467
-80.9226 87.3987
-84.0112 104.025
-76.1023 74.3182
-76.0558 85.1779
-74.1169 97.9149
-81.3264 128.546
-72.5836 106.51
-71.1859 87.1042
-71.1614 85.182
-79.6079 127.01
-82.4863 91.0833
-77.029 97.1893
-85.1915 83.0451
-77.6786 102.134
-79.069 66.3228
-78.9792 91.3944
-90.0916 86.5931
-121.789 79.1988
-82.2952 97.73
-68.2752 74.9866
-85.5301 101.576
-63.6611 102.81
-70.6822 90.0813
-78.3097 136.168
-73.7785 114.008
-72.0384 109.28
-70.6583 132.007
-57.3829 74.9928
-70.5146 95.4939
-80.4701 107.291
-54.2699 143.181
-63.2275 124.404
-65.4894 142.292
-74.1638 119.664
-63.4635 112.343
-64.0747 124.868
-66.7832 117.837
-73.0126 82.5996
-71.0564 88.9534
-90.2286 77.2673
-68.4322 82.9142
-88.5167 82.871
-67.267 77.5842
-69.7033 90.7628
-84.5603 77.293
-81.0426 92.3636
-81.8505 96.7332
-79.6696 76.6032
-115.254 99.9714
-84.3354 73.6728
-71.3945 105.108
-93.9989 92.5631
-79.6806 107.083
-93.7809 83.1812
-84.3276 73.5714
-87.651 86.697
-78.9837 86.3627
-79.5671 75.5355
-65.3871 75.6103
-82.976 68.8827
-67.546 84.9221
-71.4665 73.1729
-76.1361 67.8649
-58.719 96.4416
-69.82 74.2274
-83.1034 107.356
-64.3001 77.2235
-108.042 107.188
-58.9078 114.385
-89.387 114.531
-77.5447 59.5208
-77.517 61.2639
-92.8533 110.602
-99.0764 124.282
-75.9927 130.863
-69.0753 134.443
-103.265 126.682
-72.9194 135.697
-76.8737 75.2882
-84.2727 84.6913
-70.6177 101.976
-65.5176 83.2567
-64.2638 103.441
-62.479 103.626
-64.5799 91.9316
-60.2553 84.1267
-61.2439 80.1553
-70.4032 67.3116
-66.2901 91.4561
-65.4687 67.8296
-67.0039 70.4503
-59.6473 93.236
-66.3797 87.1999
-77.9242 66.5226
-65.6734 79.3475
-80.0991 75.8233
-64.7733 82.3877
-68.5566 81.8344
-68.9649 81.3257
-77.635 61.232
-68.6876 83.5673
-68.8883 59.8376
-61.861 103.906
-60.7351 81.97
-60.7773 87.5573
-79.8042 74.8995
-66.953 75.8921
-79.92 85.2253
-62.3481 58.1389
-78.934 72.4844
-84.8219 86.5714
-82.0143 94.1849
-64.1118 87.4698
-75.6038 89.385
-57.4601 81.5053
-65.4916 63.8762
-75.3359 97.3003
-72.6475 75.7321
-78.5938 105.415
-73.3839 83.6807
-65.8948 87.0336
-67.9674 84.7565
-72.4165 104.634
-71.7221 93.8845
-66.3803 88.5303
-83.0662 100.454
-68.9293 97.3535
-60.2219 94.4389
-69.9466 122.065
-112.952 136.782
-107.882 136.48
-111.57 110.193
-120.135 139.763
-115.429 134.815
-102.581 141.056
-117.969 143.919
-101.117 147.061
-131.356 145.738
-95.1412 143.285
-101.298 153.095
-81.8428 150.108
-126.294 99.7873
-104.798 88.2446
-65.5437 82.0967
-80.5432 98.731
-61.6654 91.7934
-74.0146 100.711
-69.5752 102.342
-72.8492 100.504
-78.1341 93.546
-79.8973 66.7346
-76.7547 99.4429
-73.2353 77.0358
-76.612 90.5557
-71.1986 99.3418
-75.4583 102.223
-72.7261 102.734
-102.889 128.882
-88.438 109.74
-80.2553 83.6817
-80.4802 69.9915
-122.216 106.831
-111.272 95.2495
-100.531 90.5331
-81.6508 87.1419
-88.6664 88.686
-88.3334 90.2987
-70.796 89.0582
-76.7789 92.6986
-71.5856 105.077
-70.0286 116.614
-76.5245 99.2263
-88.5819 110.965
-92.7625 98.395
-80.7433 78.2376
-93.2002 77.4659
-86.8761 88.044
-76.1878 102.496
-73.7354 102.166
-77.9482 93.2238
-78.8112 92.7934
-71.3971 112.32
-98.2259 80.9724
-97.2372 83.3692
-81.9227 78.9476
-73.5236 75.0331
-73.7874 85.6206
-73.3555 87.4207
-65.3765 76.8918
-84.5457 87.5196
-76.7293 105.356
-73.0178 86.5376
-78.7357 90.8437
-68.3853 84.7435
-59.5402 92.61
-71.0357 84.7208
-83.7196 94.3482
-61.0587 79.9847
-76.3249 103.205
-87.5972 93.5759
-61.2497 79.3235
-67.9359 114.519
-86.3951 108.291
-57.3481 91.4839
-68.7658 76.5745
-73.7014 87.1376
-79.2521 96.3736
-84.8823 84.0575
-83.2374 81.3903
-75.4799 92.9066
-65.628 101.888
-68.6512 91.0928
-72.0319 95.66
-76.1489 93.3862
-77.3487 106.247
-72.4699 128.156
-65.9519 111.238
-62.2466 106.558
-71.4085 89.9203
-79.3101 96.3011
-77.9694 107.045
-78.4777 96.0341
-95.8734 89.8599
-87.9078 87.9098
-88.9014 98.6677
-92.2884 75.7826
-79.3981 85.5686
-87.7944 93.3839
-87.6786 90.7778
-82.9583 72.991
-90.0995 92.9016
-85.5421 87.0889
-100.654 104.487
-80.5869 85.6206
-69.381 85.3475
-87.6006 112.241
-81.6535 85.656
-74.8088 84.1469
-78.2149 87.1746
-73.8453 86.4752
-81.9287 80.9624
-74.1969 109.825
-73.5598 76.2414
-68.6565 96.7392
-81.4808 78.0592
-71.0865 108.968
-59.7328 91.8598
-64.236 90.5002
-66.2844 101.821
-61.0115 94.538
-90.5552 93.6432
-79.8578 107.094
-53.752 93.5247
-91.2814 93.6474
-76.4915 88.0814
-94.3024 107.225
-83.7819 85.983
-88.2093 97.1996
-81.1322 89.7241
-87.8025 79.537
-72.9961 108.393
-82.2649 114.63
-79.3353 85.5674
-84.9845 84.7763
-78.9384 104.131
-93.7237 101.294
-85.0816 108.856
-99.1874 100.3
-88.0846 89.2796
-59.4042 91.629
-82.6376 95.8956
-79.7752 108.736
-63.7265 100.803
-76.9014 107.235
-77.4223 122.737
-70.6367 96.8612
-70.4477 104.766
-68.8912 117.246
-61.9324 134.716
-68.3818 104.299
-70.339 112.955
-76.4277 101.928
-74.8627 97.3244
-66.4518 117.921
-80.7689 101.837
-75.107 113.598
-96.9923 93.2394
-85.4048 85.39
-80.7311 118.285
-77.7398 89.2686
-89.4229 108.066
-94.6133 95.947
-107.757 94.3793
-94.4152 114.723
-106.273 89.1279
-77.0095 111.562
-67.0801 97.3967
-66.9578 92.4336
-82.6852 113.217
-75.1014 120.15
-94.7106 79.9695
-77.0641 70.6453
-71.0517 98.2747
-78.8119 108.302
-85.4064 88.4069
-82.9359 96.7798
-70.653 101.247
-69.337 90.1214
-66.4158 99.4748
-84.1524 89.4668
-84.1554 69.7623
-77.8379 102.393
-76.1482 71.286
-92.3086 107.156
-85.6759 79.7865
-77.7372 93.7387
-67.6359 113.975
-76.0764 97.6499
-76.5797 83.0141
-96.3423 93.3883
-80.0145 124.387
-73.5139 127.523
-84.3533 117.117
-80.5364 93.5862
-77.9582 78.0826
-88.9972 120.657
-73.8624 118.633
-65.7339 111.11
-78.1967 80.5761
-76.8423 92.6314
-86.5374 93.1668
-68.2698 101.302
-71.3045 102.134
-80.9766 89.2303
-87.5174 77.7787
-81.2416 81.1706
-83.3654 88.4385
-71.3899 90.3309
-71.6299 91.503
-70.3513 99.3267
-82.498 108.327
-77.0918 77.2593
-84.5316 91.2083
-79.3643 100.89
-74.4955 83.4639
-73.6994 86.2162
-82.9055 98.2556
-88.9151 90.8024
-76.0234 85.845
-68.3537 99.0446
-86.819 80.2312
-97.5423 86.3257
-74.6476 99.4694
-86.0278 88.0342
-78.4449 75.3386
-90.0768 72.5161
-84.968 98.3966
-62.247 82.822
-88.8 96.3838
-78.4242 74.113
-86.4263 110.132
-73.1843 80.0025
-89.5542 91.0496
-81.8867 96.8384
-98.4298 88.9191
